TID,UserPopularity,Rank,TopicTitle,Keywords
T27,3,47,Associations for patient advocacy,aiha good www meeting http website published acirc ebv org monitoring give regard closely dose aihep proactive jordan walsh 
T28,65,6,Talking to the doctor,hep didn don meds doc mine told dx month great haven feeling find drink good call wasn question info 
T29,5,39,Talking to the doctor,medications lab study medication immunosuppressant important time current agree university ongoing linda listed infections primary hepatologists improve plan natural 
T30,41,8,Side effects of taking multiple types of drugs,prednisone imuran mg started month aza labs skin effect lower taking wean area hoping bone past hepatitis night face 
T31,130,4,Hope and support - General,good don found long thought hope labs hard read start disease group hear people make agree glad love luck 
T32,143,2,Problems with normal life activities,work diagnosed year taking days week life day body doesn stay heard check medication today hospital couple hours live 
T33,12,27,Complementary-alternative medicine,high cold hepatologist cough common tattoo careful winter pressure husband turned spring antibiotics throat lymph overlapping honey herbal living 
T34,15,21,Pregnancy effects on AIH,pregnancy pregnant baby healthy son january aih tho ob gum acne risk led section autoimmunity tolerate birth damage delivery 
T35,3,47,Goals of treatment,mayo provider dx clinic medical local lotion products yrs copies test meds mgm mention nurse problem lab wbc bx 
T36,35,10,Associations for disease research,aih autoimmune information medical patients conference great group support research hepatitis share questions site rare groups posted community point 
T37,4,45,Diet interacting with medications,chirrohis predisone mg hepatologist autoimmune lol teeth imuran yrs stage drs coffee hepatitis alittle root fatty alot lara hypothyroidism 
T38,25,14,Disease affecting how transplant turns out,liver cirrhosis disease stage transplant low ultrasound failure varices cancer portal procedure immediately severe diabetes safe extremely hepatic meld 
T39,7,36,Complementary-alternative medicine for related arthritis,knee vitamin white aza hip count moment shots plant replaced knees blue switzerland shoulder excited stomach fungal amazed head 
T40,33,11,Goals of treatment,ve autoimmune diseases disease steroids family loss didn doesn children due docs reaction similar mentioned plan weight beginning genetic 
T41,24,16,Diet interacting with medications,diet gluten free water sugar foods eat food testing paleo oil yrs eating budesonide magnesium avoid coconut fact protocol 
T42,12,27,Goals of treatment,dr lammert meds drs lft point urine today med pill felt muscle ibs goal cover current learned probiotics lbs 
T43,15,21,Hope and support - General,lammert craig cirrhosis research wondering advance advice hey treatment igg combination damaged friends wishing guys chance scary slightly reasons 
T44,11,30,Goals of treatment,disease risk patient related post study autoimmune general based issue progression anti possibly specific system link specifically chronic increase 
T45,21,17,Using last resort medications,pred mg aza dose works bit day higher high raised turmeric fibroscan mid tapering florida tpmt light milk checking 
T46,14,23,Disease course-monitoring-testing,amp son aih years type auto year diabetes immune mg azathioprine psc headaches dylan diseases free reducing tacrolimus develop 
T47,6,37,Side effects from last resort medications,cellcept disability switched free sucks heat fibromyhellgia works drive esophagus expect ibuprofen raised finished fortunate stressful gained max nausea 
T48,101,5,Achieving disease remission with transplant,years aih ago put times issues drug find infection pain remission flu health caused thing drugs shot worked transplant 
T49,13,25,Interactions of medications with complementary-alternative therapies,flare hep prednisone dose hepatologist aza long taking hope back flares term health vitamin brought appointment reason regular numbers 
